dataset,model,method,attack,scope,rank,metric,seed_count,seeds,status,mean,sample_std
thubenchmark,atcnet,ea_forward,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7882174068129124,0.4246954311264021
thubenchmark,atcnet,ea_forward,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0035714285714285713,0.007985957062499249
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9587230247904406,0.005622926465246603
thubenchmark,atcnet,rpcf_at,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.8583993222757268,0.015099404565379948
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9587230247904406,0.005622926465246603
thubenchmark,atcnet,rpcf_at,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.8689218833600856,0.012089236859308041
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9587230247904406,0.005622926465246603
thubenchmark,atcnet,rpcf_at,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.859589798466203,0.013869563207428852
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9587230247904406,0.005622926465246603
thubenchmark,atcnet,rpcf_at,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.00023809523809523812,0.00053239713749995
thubenchmark,conformer,madry,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9402505796326021,0.00623331459261148
thubenchmark,conformer,madry,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7464678080970215,0.015226363993237
thubenchmark,conformer,madry,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9402505796326021,0.00623331459261148
thubenchmark,conformer,madry,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.8014553237025147,0.014212249079029838
thubenchmark,conformer,madry,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9402505796326021,0.00623331459261148
thubenchmark,conformer,madry,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7560263955769574,0.01472044889988503
thubenchmark,conformer,madry,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9402505796326021,0.00623331459261148
thubenchmark,conformer,madry,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0,0.0
thubenchmark,conformer,trades,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9502853575887283,0.005322078795420717
thubenchmark,conformer,trades,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.5422427322989121,0.1616235384063693
thubenchmark,conformer,trades,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9502853575887283,0.005322078795420717
thubenchmark,conformer,trades,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7391599785981808,0.08848323736481147
thubenchmark,conformer,trades,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9502853575887283,0.005322078795420717
thubenchmark,conformer,trades,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.5762065275548421,0.10385735862447076
thubenchmark,conformer,trades,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9502853575887283,0.005322078795420717
thubenchmark,conformer,trades,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.00024968789013732833,0.0005583190955055655
thubenchmark,conformer,fbf,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9395131086142322,0.01094640073539475
thubenchmark,conformer,fbf,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.49485197075084714,0.007201486832386768
thubenchmark,conformer,fbf,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9395131086142322,0.01094640073539475
