comparison,dataset,model,method,attack,scope,rank,metric,seed_count,mean_delta_pp,sample_std_pp,positive_seeds
rpcf_minus_madry,bciciv2a,conformer,rpcf_at,cw,full_test,raw,clean,5,-0.1915708812260531,3.1156045914349795,3
rpcf_minus_madry,bciciv2a,conformer,rpcf_at,cw,full_test,raw,robust,5,-11.149425287356323,6.0812817672951525,0
rpcf_minus_madry,bciciv2a,tcnet,rpcf_at,autoattack,full_test,raw,clean,5,3.754789272030652,3.8662212368133946,5
rpcf_minus_madry,bciciv2a,tcnet,rpcf_at,autoattack,full_test,raw,robust,5,6.245210727969348,5.439736047175808,5
rpcf_minus_madry,bciciv2a,tcnet,rpcf_at,fgsm,full_test,raw,clean,5,3.754789272030652,3.8662212368133946,5
rpcf_minus_madry,bciciv2a,tcnet,rpcf_at,fgsm,full_test,raw,robust,5,5.440613026819923,5.292698173332166,3
rpcf_minus_madry,bciciv2a,tcnet,rpcf_at,pgd,full_test,raw,clean,5,3.754789272030652,3.8662212368133946,5
rpcf_minus_madry,bciciv2a,tcnet,rpcf_at,pgd,full_test,raw,robust,5,6.590038314176245,5.67741888936973,5
rpcf_minus_madry,bciciv2a,tcnet,rpcf_at,cw,full_test,raw,clean,5,3.754789272030652,3.8662212368133946,5
rpcf_minus_madry,bciciv2a,tcnet,rpcf_at,cw,full_test,raw,robust,5,2.030651340996169,3.360963567175505,4
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,autoattack,subset_n512,25,clean,5,-2.7734375,0.6960363156720883,0
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,autoattack,subset_n512,25,robust,5,4.9609375,2.3175620272173947,5
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,autoattack,subset_n512,30,clean,5,-2.109375,0.576089109521587,0
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,autoattack,subset_n512,30,robust,5,3.8671875,1.6070314399003292,5
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,fgsm,subset_n512,25,clean,5,-2.7734375,0.6960363156720883,0
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,fgsm,subset_n512,25,robust,5,0.6640625,1.3989066077710923,3
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,fgsm,subset_n512,30,clean,5,-2.109375,0.576089109521587,0
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,fgsm,subset_n512,30,robust,5,0.9765625,2.489755621871477,3
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,pgd,subset_n512,25,clean,5,-2.7734375,0.6960363156720883,0
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,pgd,subset_n512,25,robust,5,1.328125,1.642251797623274,3
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,pgd,subset_n512,30,clean,5,-2.109375,0.576089109521587,0
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,pgd,subset_n512,30,robust,5,1.6796875,1.891609377000508,4
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,cw,subset_n512,25,clean,5,-2.7734375,0.6960363156720883,0
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,cw,subset_n512,25,robust,5,25.859375,1.8508371469503333,5
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,cw,subset_n512,30,clean,5,-2.109375,0.576089109521587,0
tnp_minus_same_subset_raw,thubenchmark,eegnet,madry,cw,subset_n512,30,robust,5,18.7109375,1.5831159475905816,5
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,autoattack,subset_n512,raw,clean,5,0.15625,0.28969525340217434,3
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,autoattack,subset_n512,raw,robust,5,0.390625,0.3653962291771427,4
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,autoattack,subset_n512,25,clean,5,0.0390625,0.37569109495451847,2
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,autoattack,subset_n512,25,clean,5,-2.890625,0.5924121440665274,0
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,autoattack,subset_n512,25,robust,5,0.8984375,1.3989066077710923,3
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,autoattack,subset_n512,25,robust,5,5.46875,0.9468124721516268,5
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,autoattack,subset_n512,30,clean,5,0.234375,0.32093118603818327,2
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,autoattack,subset_n512,30,clean,5,-2.03125,0.40500862018218203,0
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,autoattack,subset_n512,30,robust,5,1.5234375,1.2460263990419205,4
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,autoattack,subset_n512,30,robust,5,5.0,1.0204961310635259,5
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,fgsm,subset_n512,raw,clean,5,0.15625,0.28969525340217434,3
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,fgsm,subset_n512,raw,robust,5,0.0,0.5348853100636388,2
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,fgsm,subset_n512,25,clean,5,0.0390625,0.37569109495451847,2
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,fgsm,subset_n512,25,clean,5,-2.890625,0.5924121440665274,0
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,fgsm,subset_n512,25,robust,5,2.1875,1.0996631453327537,5
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,fgsm,subset_n512,25,robust,5,2.8515625,0.8355175639143531,5
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,fgsm,subset_n512,30,clean,5,0.234375,0.32093118603818327,2
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,fgsm,subset_n512,30,clean,5,-2.03125,0.40500862018218203,0
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,fgsm,subset_n512,30,robust,5,1.875,1.8353140563802357,5
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,fgsm,subset_n512,30,robust,5,2.8515625,1.2777677526403224,5
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,pgd,subset_n512,raw,clean,5,0.15625,0.28969525340217434,3
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,pgd,subset_n512,raw,robust,5,0.078125,0.684987418623054,3
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,pgd,subset_n512,25,clean,5,0.0390625,0.37569109495451847,2
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,pgd,subset_n512,25,clean,5,-2.890625,0.5924121440665274,0
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,pgd,subset_n512,25,robust,5,2.8125,1.2551772666452834,5
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,pgd,subset_n512,25,robust,5,4.0625,1.4043498447068399,5
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,pgd,subset_n512,30,clean,5,0.234375,0.32093118603818327,2
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,pgd,subset_n512,30,clean,5,-2.03125,0.40500862018218203,0
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,pgd,subset_n512,30,robust,5,1.9140625,1.8238464890513675,4
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,pgd,subset_n512,30,robust,5,3.515625,0.9468124721516268,5
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,cw,subset_n512,raw,clean,5,0.15625,0.28969525340217434,3
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,cw,subset_n512,raw,robust,5,0.0,0.0,0
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,cw,subset_n512,25,clean,5,0.0390625,0.37569109495451847,2
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,cw,subset_n512,25,clean,5,-2.890625,0.5924121440665274,0
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,cw,subset_n512,25,robust,5,0.8984375,2.2380119547861277,2
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,cw,subset_n512,25,robust,5,26.7578125,1.7793815584266208,5
